n,type,x,err
7,uni,-1.000000000000000e+00,0.000000000000000e+00
7,uni,-9.980000000000000e-01,7.682754192072726e-03
7,uni,-9.960000000000000e-01,1.514575105668853e-02
7,uni,-9.940000000000000e-01,2.239216894875400e-02
7,uni,-9.920000000000000e-01,2.942516008692632e-02
7,uni,-9.900000000000000e-01,3.624785067156449e-02
7,uni,-9.880000000000000e-01,4.286334100243388e-02
7,uni,-9.860000000000000e-01,4.927470559616402e-02
7,uni,-9.840000000000000e-01,5.548499330345971e-02
7,uni,-9.820000000000000e-01,6.149722742606488e-02
7,uni,-9.800000000000000e-01,6.731440583347949e-02
7,uni,-9.780000000000000e-01,7.293950107942926e-02
7,uni,-9.760000000000000e-01,7.837546051808790e-02
7,uni,-9.740000000000000e-01,8.362520642005189e-02
7,uni,-9.720000000000000e-01,8.869163608806782e-02
7,uni,-9.700000000000000e-01,9.357762197251157e-02
7,uni,-9.680000000000000e-01,9.828601178662034e-02
7,uni,-9.660000000000000e-01,1.028196286214757e-01
7,uni,-9.640000000000000e-01,1.071812710607394e-01
7,uni,-9.620000000000000e-01,1.113737132951402e-01
7,uni,-9.600000000000000e-01,1.153997052367128e-01
7,uni,-9.580000000000000e-01,1.192619726327877e-01
7,uni,-9.560000000000000e-01,1.229632171797329e-01
7,uni,-9.540000000000000e-01,1.265061166364460e-01
7,uni,-9.520000000000000e-01,1.298933249375979e-01
7,uni,-9.500000000000000e-01,1.331274723066273e-01
7,uni,-9.480000000000000e-01,1.362111653684849e-01
7,uni,-9.460000000000000e-01,1.391469872621300e-01
7,uni,-9.440000000000000e-01,1.419374977527751e-01
7,uni,-9.419999999999999e-01,1.445852333438828e-01
7,uni,-9.399999999999999e-01,1.470927073889113e-01
7,uni,-9.379999999999999e-01,1.494624102028101e-01
7,uni,-9.359999999999999e-01,1.516968091732660e-01
7,uni,-9.339999999999999e-01,1.537983488716977e-01
7,uni,-9.319999999999999e-01,1.557694511640002e-01
7,uni,-9.299999999999999e-01,1.576125153210381e-01
7,uni,-9.280000000000000e-01,1.593299181288882e-01
7,uni,-9.260000000000000e-01,1.609240139988307e-01
7,uni,-9.240000000000000e-01,1.623971350770885e-01
7,uni,-9.220000000000000e-01,1.637515913543158e-01
7,uni,-9.200000000000000e-01,1.649896707748339e-01
7,uni,-9.180000000000000e-01,1.661136393456160e-01
7,uni,-9.160000000000000e-01,1.671257412450190e-01
7,uni,-9.140000000000000e-01,1.680281989312630e-01
7,uni,-9.120000000000000e-01,1.688232132506585e-01
7,uni,-9.100000000000000e-01,1.695129635455810e-01
7,uni,-9.080000000000000e-01,1.700996077621910e-01
7,uni,-9.060000000000000e-01,1.705852825579032e-01
7,uni,-9.040000000000000e-01,1.709721034085998e-01
7,uni,-9.020000000000000e-01,1.712621647155917e-01
7,uni,-9.000000000000000e-01,1.714575399123250e-01
7,uni,-8.980000000000000e-01,1.715602815708336e-01
7,uni,-8.960000000000000e-01,1.715724215079371e-01
7,uni,-8.940000000000000e-01,1.714959708911845e-01
7,uni,-8.920000000000000e-01,1.713329203445422e-01
7,uni,-8.900000000000000e-01,1.710852400538281e-01
7,uni,-8.880000000000000e-01,1.707548798718885e-01
7,uni,-8.860000000000000e-01,1.703437694235216e-01
7,uni,-8.840000000000000e-01,1.698538182101427e-01
7,uni,-8.820000000000000e-01,1.692869157141951e-01
7,uni,-8.800000000000000e-01,1.686449315033032e-01
7,uni,-8.780000000000000e-01,1.679297153341700e-01
7,uni,-8.760000000000000e-01,1.671430972562165e-01
7,uni,-8.740000000000000e-01,1.662868877149643e-01
7,uni,-8.720000000000000e-01,1.653628776551611e-01
7,uni,-8.700000000000000e-01,1.643728386236474e-01
7,uni,-8.680000000000000e-01,1.633185228719655e-01
7,uni,-8.660000000000000e-01,1.622016634587097e-01
7,uni,-8.640000000000000e-01,1.610239743516184e-01
7,uni,-8.620000000000000e-01,1.597871505294063e-01
7,uni,-8.600000000000000e-01,1.584928680833375e-01
7,uni,-8.580000000000000e-01,1.571427843185390e-01
7,uni,-8.560000000000000e-01,1.557385378550536e-01
7,uni,-8.540000000000000e-01,1.542817487286332e-01
7,uni,-8.520000000000000e-01,1.527740184912703e-01
7,uni,-8.500000000000000e-01,1.512169303114694e-01
7,uni,-8.480000000000000e-01,1.496120490742565e-01
7,uni,-8.460000000000000e-01,1.479609214809264e-01
7,uni,-8.440000000000000e-01,1.462650761485285e-01
